iter	Passed	Remaining
795	4979	1276
796	4985	1269
797	4990	1263
798	4995	1256
799	5000	1250
800	5005	1243
801	5010	1237
802	5015	1230
803	5021	1224
804	5029	1218
805	5035	1212
806	5041	1205
807	5047	1199
808	5053	1193
809	5060	1187
810	5067	1180
811	5074	1174
812	5080	1168
813	5088	1162
814	5094	1156
815	5101	1150
816	5108	1144
817	5115	1138
818	5122	1131
819	5128	1125
820	5135	1119
821	5142	1113
822	5148	1107
823	5154	1100
824	5159	1094
825	5164	1087
826	5171	1081
827	5178	1075
828	5185	1069
829	5192	1063
830	5199	1057
831	5205	1051
832	5212	1045
833	5219	1038
834	5227	1032
835	5233	1026
836	5240	1020
837	5246	1014
838	5252	1007
839	5257	1001
840	5263	995
841	5270	989
842	5276	982
843	5281	976
844	5287	969
845	5292	963
846	5297	956
847	5303	950
848	5309	944
849	5314	937
850	5320	931
851	5325	925
852	5330	918
853	5335	912
854	5340	905
855	5345	899
856	5350	892
857	5356	886
858	5361	880
859	5366	873
860	5372	867
861	5377	860
862	5382	854
863	5388	848
864	5393	841
865	5398	835
866	5403	828
867	5408	822
868	5414	816
869	5421	810
870	5427	803
871	5433	797
872	5440	791
873	5446	785
874	5453	779
875	5460	772
876	5468	766
877	5474	760
878	5481	754
879	5488	748
880	5495	742
881	5501	736
882	5507	729
883	5512	723
884	5518	717
885	5523	710
886	5528	704
887	5534	698
888	5539	691
889	5544	685
890	5549	678
891	5555	672
892	5560	666
893	5566	660
894	5573	653
895	5580	647
896	5587	641
897	5593	635
898	5599	629
899	5605	622
900	5610	616
901	5616	610
902	5621	603
903	5626	597
904	5631	591
905	5636	584
906	5641	578
907	5647	572
908	5652	565
909	5657	559
910	5664	553
911	5671	547
912	5678	541
913	5684	534
914	5691	528
915	5698	522
916	5704	516
917	5709	510
918	5715	503
919	5721	497
920	5726	491
921	5732	484
922	5738	478
923	5745	472
924	5751	466
925	5758	460
926	5766	454
927	5773	447
928	5780	441
929	5786	435
930	5793	429
931	5800	423
932	5806	416
933	5813	410
934	5818	404
935	5824	398
936	5829	391
937	5835	385
938	5840	379
939	5845	373
940	5851	366
941	5856	360
942	5861	354
943	5868	348
944	5874	341
945	5881	335
946	5888	329
947	5895	323
948	5901	317
949	5911	311
950	5917	304
951	5924	298
952	5930	292
953	5937	286
954	5944	280
955	5951	273
956	5957	267
957	5965	261
958	5972	255
959	5978	249
960	5983	242
961	5988	236
962	5994	230
963	6000	224
964	6006	217
965	6013	211
966	6020	205
967	6027	199
968	6033	193
969	6039	186
970	6044	180
971	6049	174
972	6054	168
973	6059	161
974	6064	155
975	6070	149
976	6076	143
977	6081	136
978	6086	130
979	6091	124
980	6097	118
981	6102	111
982	6109	105
983	6115	99
984	6122	93
985	6129	87
986	6136	80
987	6143	74
988	6150	68
989	6157	62
990	6164	55
991	6171	49
992	6178	43
993	6185	37
994	6193	31
995	6200	24
996	6207	18
997	6214	12
998	6222	6
999	6228	0
